sep=;
Unidad;Marca;Modelo;Referencia;Año;Ubicacion;Propietario;Departamento;CuentaContable;Combustible;Placas;Serie;TireSpec;TerrainType;OperationalUse;TireBrand;IntDias;IntServicio;KmPromDiario;KmActuales;KmUltimoServicio;FechaUltimoServicio;CirculationCard;EngineType;Color;Traccion;Transmision;CapacidadCarga;FuelTankCapacity;InsuranceExpiryDate;VencimientoVerificacion;InsuranceCompany;InsurancePolicyNumber;MonthlyLeasePayment
ASM-002;Toyota;Hilux;Medio Ambiente;2007;Mina;Arian Silver de México;Medio Ambiente;8019-548-901;Diésel;ZH-3153-B;1D7HW48P87S256272;255/70 R15;All-Terrain (A/T);Terracería leve;ZMAX;180;10000;35.9;120763;119728;2026-03-09;TC-ZH-3153-B-2024;L4 2.5L Turbo (2KD-FTV Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-002-2024;14850.00
ASM-006;Nissan;Frontier;Medio Ambiente;2016;Mina;Arian Silver de México;Medio Ambiente;8019-400-922;Gasolina;ZH-3161-B;3N6AD33C4GK892141;255/60 R18;Mixta (H/T);Carretera/Ciudad;PIRELLI;180;10000;45.0;357833;356944;2026-03-11;TC-ZH-3161-B-2024;L4 2.5L DOHC Multipunto (Gasolina);Blanco;4x2;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-006-2024;12000.00
ASM-007;Nissan;NP 300;Laboratorio;2016;Planta;Arian Silver de México;Laboratorio;8012-548-390;Gasolina;ZH-3160-B;3N6AD33C5GK814774;205 R16;Carga (LT);Pesado/Planta;BRIDGESTONE;180;10000;15.0;327593;327333;2026-03-11;TC-ZH-3160-B-2024;L4 2.5L DOHC Multipunto (Gasolina);Blanco;4x2;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-007-2024;12000.00
ASM-008;Toyota;Hilux;Operación Mina;2019;Mina;Huur;Operación Mina;8019-548-190;Diésel;ZH-3163-B;MR0FA8CD8K3900944;265/65 R17;All-Terrain (A/T);Mina/Roca;BF GOODRICH;90;5000;110.0;25955;23940;2026-03-26;TC-ZH-3163-B-2024;L4 2.5L Turbo (2KD-FTV Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-008-2024;14850.00
ASM-009;Nissan;Versa;Flota;2025;Mina;Huur;Planeación;8012-548-150;Gasolina;VEH-746-D;3N1CN8AE9SK599731;205/55 R16;Passenger;Ciudad;MICHELIN;180;10000;181.3;53460;51006;2026-03-31;TC-VEH-746-D-2024;L4 1.6L DOHC (Gasolina);Blanco;4x2;Estándar (Manual);500;45;2027-04-29;2026-10-30;Qualitas;POL-ASM-009-2024;9800.00
ASM-010;Chevrolet;Aveo;Flota;2025;Mina;Huur;Operación Mina;8019-548-190;Gasolina;UXS-682-E;LZWPRMGN6SF107290;185/60 R15;Passenger;Ciudad;MICHELIN;180;10000;228.9;22487;19680;2026-03-13;TC-UXS-682-E-2024;L4 1.6L DOHC (Gasolina);Blanco;4x2;Estándar (Manual);500;45;2027-04-29;2026-10-30;Qualitas;POL-ASM-010-2024;9800.00
ASM-011;Ram;4000;Mantenimiento Planta;2021;Planta;Arian Silver de México;Mantenimiento Planta;8019-548-390;Gasolina;ZH-3152-B;3C7WRAKT6MG570165;235/80 R17;Carga (Rango E);Carga Pesada;BF GOODRICH;180;10000;56.4;45921;42400;2025-10-24;TC-ZH-3152-B-2024;V8 6.4L HEMI MDS (Gasolina);Blanco;4x4;Estándar (Manual);4000;197;2027-04-29;2026-10-30;Qualitas;POL-ASM-011-2024;14850.00
ASM-012;Mitsubishi;L200;Gerencia General;2022;Mina;Arian Silver de México;Administración;8019-548-901;Diésel;ZD-1550-B;MMBNLV56XNH055968;265/60 R18;High Terrain (H/T);Carretera;BF GOODRICH;90;5000;144.9;76146;74677;2026-02-21;TC-ZD-1550-B-2024;L4 2.4L MIVEC Turbo (Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-012-2024;14850.00
ASM-013;Mitsubishi;L200;Seguridad Industrial;2022;Mina;Arian Silver de México;Seguridad Industiral;8019-548-914;Diésel;ZD-1551-B;MMBNLV563NH056251;245/70 R16;All-Terrain (A/T);Mixto;BF GOODRICH;90;5000;43.9;55007;52573;2026-01-13;TC-ZD-1551-B-2024;L4 2.4L MIVEC Turbo (Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-013-2024;14850.00
ASM-014;Mitsubishi;L200;Geología;2022;Mina;Arian Silver de México;Geología;8012-548-140;Diésel;ZD-1552-B;MMBNLV569NH055993;245/70 R16;All-Terrain (A/T);Campo/Mina;BF GOODRICH;90;5000;124.7;130876;127883;2026-03-11;TC-ZD-1552-B-2024;L4 2.4L MIVEC Turbo (Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-014-2024;14850.00
ASM-015;Toyota;Yaris;Administración;2023;Mina;Arian Silver de México;Administración;8019-548-901;Gasolina;ZHY-780-E;MR2BF8C38P0005090;185/60 R15;Passenger;Ciudad;MICHELIN;180;10000;210.3;161077;150000;2025-12-29;TC-ZHY-780-E-2024;L4 1.6L DOHC (Gasolina);Blanco;4x2;Estándar (Manual);500;45;2027-04-29;2026-10-30;Qualitas;POL-ASM-015-2024;12000.00
